Schlüssel;Identnummer;Detailnetzsegment;Straßenbezeichnung;Straßenname;Bezirk;Ortsteil;RVA-Typ;Typ;Länge [m];Benutzungspflicht
8615;11-000226;52560025_52550015.02;-;Vulkanstraße;Lichtenberg;Fennpfuhl;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;206,00;nein
8616;11-000227;52550015_52550016.02;-;Vulkanstraße;Lichtenberg;Fennpfuhl;Radfahrstreifen;Radverkehrsanlage Z 340 im/am Knotenpunktsbereich;15,00;nein
8617;11-000228;52550015_52550016.02;-;Vulkanstraße;Lichtenberg;Fennpfuhl;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;156,00;nein
8618;11-000229;52550016_52550014.01;-;Vulkanstraße;Lichtenberg;Fennpfuhl;Radfahrstreifen;Radverkehrsanlage Z 340 im/am Knotenpunktsbereich;10,00;ja
8619;11-000234;52550017_52550009.01;-;Vulkanstraße;Lichtenberg;Fennpfuhl;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;53,00;ja
8620;01-000412;47550041_47550042.01;-;Karl-Liebknecht-Straße;Mitte;Mitte;Bussonderfahrstreifen;Bussonderfahrstreifen Z 340;73,00;nein
8621;01-000413;47550041_47550042.01;-;Karl-Liebknecht-Straße;Mitte;Mitte;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;48,00;nein
8622;06-000380;35440016_35440007.01;-;Clauertstraße;Steglitz-Zehlendorf;Zehlendorf;Radwege;Geh-/Radweg, baulich unterschieden;86,00;nein
8623;06-000381;35440007_35440008.01;-;Berlepschstraße;Steglitz-Zehlendorf;Zehlendorf;Radwege;Radfahrerfurt Z 340;25,00;nein
8624;06-000382;35440006_35440007.01;-;Berlepschstraße;Steglitz-Zehlendorf;Zehlendorf;Radwege;Radfahrerfurt Z 340;20,00;nein
8625;06-000383;34450008_34450021.02;-;Königsweg;Steglitz-Zehlendorf;Zehlendorf;Radwege;Gehweg, mit Radverkehr frei;21,00;nein
8626;06-000384;34440027_34440006.01;-;Königsweg;Steglitz-Zehlendorf;Nikolassee;Radwege;Geh-/Radweg, ohne Trennung;22,00;nein
8627;06-000385;34450007_34450008.01;-;Clauertstraße;Steglitz-Zehlendorf;Zehlendorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;174,00;nein
8628;06-000386;34450007_34450008.01;-;Clauertstraße;Steglitz-Zehlendorf;Zehlendorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;174,00;nein
8629;06-000410;36470055_37470006.01;-;Argentinische Allee;Steglitz-Zehlendorf;Dahlem;Radwege;Radweg, baulich getrennt;379,00;nein
8630;06-000411;36470055_37470006.01;-;Argentinische Allee;Steglitz-Zehlendorf;Dahlem;Radwege;Radfahrerfurt Z 340;23,00;nein
8631;06-000412;36470055_37470006.01;-;Argentinische Allee;Steglitz-Zehlendorf;Dahlem;Radwege;Radfahrerfurt Z 340;21,00;nein
8632;06-000413;37470006_37470007.01;-;Argentinische Allee;Steglitz-Zehlendorf;Dahlem;Radwege;Geh-/Radweg, baulich unterschieden;516,00;nein
8633;01-000414;44580009_44580014.01;-;Schulstraße;Mitte;Wedding;Radwege;Geh-/Radweg, baulich unterschieden;252,00;nein
8634;01-000415;44580009_44580014.01;-;Schulstraße;Mitte;Wedding;Radwege;Geh-/Radweg, baulich unterschieden;264,00;nein
8635;06-000414;36440012_36450048.01;-;Machnower Straße;Steglitz-Zehlendorf;Zehlendorf;Radwege;Radfahrerfurt Z 340;15,00;nein
8636;06-000415;36450048_36450049.01;-;Machnower Straße;Steglitz-Zehlendorf;Zehlendorf;Radwege;Geh-/Radweg, baulich unterschieden;154,00;nein
8637;06-000416;36450048_36450049.01;-;Machnower Straße;Steglitz-Zehlendorf;Zehlendorf;Radwege;Radfahrerfurt Z 340;15,00;nein
8638;06-000417;36450048_36450049.01;-;Machnower Straße;Steglitz-Zehlendorf;Zehlendorf;Radwege;Geh-/Radweg, baulich unterschieden;22,00;nein
8639;06-000418;36450049_36450012.01;-;Machnower Straße;Steglitz-Zehlendorf;Zehlendorf;Radwege;Radfahrerfurt Z 340;11,00;nein
8640;06-000419;36450048_36450049.01;-;Machnower Straße;Steglitz-Zehlendorf;Zehlendorf;Radwege;Geh-/Radweg, baulich unterschieden;181,00;nein
8641;06-000420;36450048_36450049.01;-;Machnower Straße;Steglitz-Zehlendorf;Zehlendorf;Radwege;Radfahrerfurt Z 340;12,00;nein
8642;06-000571;34450029_34450028.02;-;Lindenthaler Allee;Steglitz-Zehlendorf;Zehlendorf;Radwege;Radweg, baulich getrennt;288,00;nein
8643;04-000226;39510020_39510050.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radfahrerfurt Z 340;39,00;nein
8644;04-000227;39510020_39510050.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radfahrerfurt Z 340;38,00;nein
8645;04-000228;39510019_39510020.01;-;Cunostraße;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radweg, baulich getrennt;23,00;ja
8646;04-000229;39510020_39510050.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;9,00;nein
8647;04-000230;39510019_39510020.01;-;Cunostraße;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radweg, baulich getrennt;19,00;ja
8648;04-000231;39510025_39510020.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radfahrerfurt Z 340;27,00;nein
8649;04-000232;39510020_39510050.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radfahrerfurt Z 340;27,00;nein
8650;04-000233;39510025_39510020.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radweg, baulich getrennt;250,00;nein
8651;04-000234;39510025_39510020.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radweg, baulich getrennt;201,00;nein
8652;04-000235;39510050_39510027.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radweg, baulich getrennt;298,00;nein
8653;04-000236;39510050_39510027.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radweg, baulich getrennt;252,00;nein
8654;04-000237;39510031_39510020.01;-;Warmbrunner Straße;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Geh-/Radweg, baulich unterschieden;11,00;nein
8655;04-000238;39510024_39510025.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radfahrerfurt Z 340;17,00;nein
8656;04-000239;39510024_39510025.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Geh-/Radweg, baulich unterschieden;30,00;nein
8657;04-000240;39510024_39510025.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radweg, baulich getrennt;65,00;nein
8658;04-000241;39510024_39510025.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radfahrerfurt Z 340;7,00;nein
8659;04-000242;38510008_39510023.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radweg, baulich getrennt;221,00;nein
8660;04-000243;38500058_38510008.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radfahrerfurt Z 340;30,00;nein
8661;04-000244;38510001_38510008.01;-;Elgersburger Straße;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radweg, baulich getrennt;27,00;nein
8662;04-000245;38510001_38510008.01;-;Elgersburger Straße;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radweg, baulich getrennt;25,00;nein
8663;04-000246;38500029_38500004.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Schmargendorf;Radwege;Radweg, baulich getrennt;207,00;nein
8664;04-001935;40520037_40520035.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Radfahrerfurt Z 340;9,00;nein
8665;04-001941;40520035_40520038.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Geh-/Radweg, baulich unterschieden;18,00;nein
8666;04-001943;40520035_40520038.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Radweg, baulich getrennt;40,00;nein
8667;04-001945;40520035_40520038.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Geh-/Radweg, baulich unterschieden;27,00;nein
8668;04-001951;40520035_40520038.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Radfahrerfurt Z 340;12,00;nein
8669;04-001953;40520038_40520032.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Radweg, baulich getrennt;30,00;nein
8670;04-001955;40520032_41520027.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Radfahrerfurt Z 340;44,00;nein
8671;04-001957;40520032_41520027.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Radweg, baulich getrennt;20,00;nein
8672;04-001959;40520032_40520036.01;-;Güntzelstraße;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Geh-/Radweg, baulich unterschieden;23,00;nein
8673;04-001960;40520032_40520036.01;-;Güntzelstraße;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Radfahrerfurt Z 340;29,00;nein
8674;04-001961;40520032_41520027.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Radfahrerfurt Z 340;33,00;nein
8675;04-001963;40520038_40520032.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Geh-/Radweg, baulich unterschieden;29,00;nein
8676;04-001964;40520032_40520030.01;-;Emser Straße;Charlottenburg-Wilmersdorf;Wilmersdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;13,00;nein
8677;04-001965;40520032_40520030.01;-;Emser Straße;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Radfahrerfurt Z 340;28,00;nein
8678;04-001967;40520032_40520036.01;-;Güntzelstraße;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Geh-/Radweg, baulich unterschieden;26,00;nein
8679;04-001972;40520032_41520027.01;-;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Wilmersdorf;Radfahrstreifen;Radfahrstreifen Z 295, ruh.Verkehr mit Begrenzung;100,00;nein
8680;04-001982;41520010_41520022.01;-;Nachodstraße;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Geh-/Radweg, baulich unterschieden;217,00;nein
8681;04-001983;41520010_41520022.01;-;Nachodstraße;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Radfahrerfurt Z 340;24,00;nein
8682;04-001984;41520022_42520005.01;-;Nachodstraße;Charlottenburg-Wilmersdorf;Wilmersdorf;Radwege;Geh-/Radweg, baulich unterschieden;25,00;nein
