Schlüssel;Identnummer;Detailnetzsegment;Straßenbezeichnung;Straßenname;Bezirk;Ortsteil;RVA-Typ;Typ;Länge [m];Benutzungspflicht
825;03-000356;49570015_49570011.02;-;Ostseestraße;Pankow;Prenzlauer Berg;Radwege;Radfahrerfurt Z 340;25,00;ja
826;03-000358;49570015_49570011.02;-;Ostseestraße;Pankow;Prenzlauer Berg;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;119,00;ja
827;03-000360;49570015_49570011.02;-;Ostseestraße;Pankow;Prenzlauer Berg;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;43,00;ja
828;03-000366;51640007_51640008.02;-;Blankenburger Chaussee;Pankow;Karow;Radwege;Radfahrerfurt Z 340;9,00;nein
829;03-000367;51640007_51640008.02;-;Blankenburger Chaussee;Pankow;Karow;Radwege;Geh-/Radweg, baulich unterschieden;101,00;nein
830;03-000368;51640009_51640007.01;-;Blankenburger Chaussee;Pankow;Karow;Radwege;Radfahrerfurt Z 340;11,00;nein
831;03-000369;51640008_52640011.02;-;Blankenburger Chaussee;Pankow;Karow;Radwege;Geh-/Radweg, baulich unterschieden;305,00;nein
832;03-000370;51640008_52640011.02;-;Blankenburger Chaussee;Pankow;Karow;Radwege;Geh-/Radweg, baulich unterschieden;320,00;nein
855;11-000310;52520003_52520002.01;-;Rummelsburger Straße;Lichtenberg;Friedrichsfelde;Radwege;Radfahrerfurt Z 340;33,00;nein
833;09-000809;57420029_57420042.01;-;Bruno-Taut-Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Gehweg, mit Radverkehr frei;342,00;nein
834;09-000810;57420037_57420005.01;-;Buntzelstraße;Treptow-Köpenick;Bohnsdorf;Radwege;Gehweg, mit Radverkehr frei;247,00;nein
835;09-000811;57420037_57420005.01;-;Buntzelstraße;Treptow-Köpenick;Bohnsdorf;Radwege;Gehweg, mit Radverkehr frei;581,00;nein
836;09-000812;57420037_57420005.01;-;Buntzelstraße;Treptow-Köpenick;Bohnsdorf;Radwege;Radfahrerfurt Z 340;12,00;nein
837;09-000813;57410017_57420037.01;-;Buntzelstraße;Treptow-Köpenick;Bohnsdorf;Radwege;Gehweg, mit Radverkehr frei;271,00;nein
838;09-000814;57410034_57410031.02;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Geh-/Radweg, baulich unterschieden;311,00;nein
839;09-000818;57410027_57410034.02;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Radfahrerfurt Z 340;13,00;nein
840;09-000816;57410034_57410031.02;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Radfahrerfurt Z 340;12,00;nein
841;09-000817;57410027_57410034.02;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Geh-/Radweg, baulich unterschieden;80,00;nein
842;09-000819;58410023_57410060.01;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Geh-/Radweg, baulich unterschieden;238,00;nein
843;09-000820;58410005_58410023.01;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Radfahrerfurt Z 340;7,00;nein
844;09-000821;58410047_58410005.01;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Geh-/Radweg, baulich unterschieden;191,00;nein
845;09-000822;58410047_58410005.01;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Radfahrerfurt Z 340;8,00;nein
846;09-000768;57450006_57450005.03;-;Glienicker Straße;Treptow-Köpenick;Köpenick;Radwege;Geh-/Radweg, baulich unterschieden;209,00;nein
847;09-000769;57460019_57440001.01;-;Grünauer Straße;Treptow-Köpenick;Köpenick;Radwege;Radfahrerfurt Z 340;27,00;ja
848;09-000770;57460019_57440001.01;-;Grünauer Straße;Treptow-Köpenick;Köpenick;Radwege;Geh-/Radweg, baulich unterschieden;75,00;ja
849;09-000771;58440020_58430036.01;-;Regattastraße;Treptow-Köpenick;Grünau;Radwege;Geh-/Radweg, ohne Trennung;121,00;ja
850;11-000309;52520003_52520002.01;-;Rummelsburger Straße;Lichtenberg;Friedrichsfelde;Radwege;Geh-/Radweg, baulich unterschieden;27,00;nein
851;09-000774;58440019_58440020.02;-;Regattastraße;Treptow-Köpenick;Grünau;Radwege;Geh-/Radweg, ohne Trennung;293,00;ja
852;09-000775;58440020_58430036.01;-;Regattastraße;Treptow-Köpenick;Grünau;Radwege;Geh-/Radweg, ohne Trennung;148,00;ja
853;09-000776;57440001_57440003.01;-;Grünauer Straße;Treptow-Köpenick;Köpenick;Radwege;Gehweg, mit Radverkehr frei;1069,00;ja
854;09-000777;57440001_57440003.01;-;Grünauer Straße;Treptow-Köpenick;Köpenick;Radwege;Geh-/Radweg, ohne Trennung;756,00;ja
856;11-000311;52520003_52520002.01;-;Rummelsburger Straße;Lichtenberg;Friedrichsfelde;Radwege;Radfahrerfurt Z 340;34,00;nein
857;11-000312;52520003_52520002.01;-;Rummelsburger Straße;Lichtenberg;Friedrichsfelde;Radwege;Geh-/Radweg, baulich unterschieden;27,00;nein
858;09-000778;57470015_57470016.02;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Gehweg, mit Radverkehr frei;544,00;nein
859;09-000779;57470003_57470015.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Radfahrerfurt Z 340;25,00;nein
860;09-000780;57470001_57470003.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Geh-/Radweg, ohne Trennung;163,00;ja
861;09-000781;57470001_57470003.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Geh-/Radweg, baulich unterschieden;273,00;ja
862;09-000782;57470003_57470015.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radfahrstreifen;Radverkehrsanlage Z 340 im/am Knotenpunktsbereich;19,00;nein
863;09-000783;56490004_57470003.02;-;Rudolf-Rühl-Allee;Treptow-Köpenick;Köpenick;Radwege;Radfahrerfurt Z 340;40,00;nein
864;09-000785;58430038_58430039.02;-;Regattastraße;Treptow-Köpenick;Grünau;Radwege;Geh-/Radweg, ohne Trennung;556,00;ja
865;09-000786;58430038_58430039.02;-;Regattastraße;Treptow-Köpenick;Grünau;Radwege;Geh-/Radweg, ohne Trennung;169,00;ja
866;09-000439;51500017_52500001.01;-;Neue Krugallee;Treptow-Köpenick;Plänterwald;Radwege;Radweg, baulich getrennt;144,00;nein
867;09-000440;51500017_52500001.01;-;Neue Krugallee;Treptow-Köpenick;Plänterwald;Radwege;Radfahrerfurt Z 340;34,00;nein
868;09-000468;52480022_52480023.01;-;Südostallee;Treptow-Köpenick;Baumschulenweg;Radwege;Geh-/Radweg, durch Markierung unterschieden;92,00;nein
869;09-000484;55450040_55450041.01;B96a;Adlergestell;Treptow-Köpenick;Adlershof;Radwege;Radfahrerfurt Z 340;9,00;ja
870;09-000485;55450039_55450040.01;B96a;Adlergestell;Treptow-Köpenick;Adlershof;Radwege;Radweg, baulich getrennt;59,00;ja
871;09-000486;55450039_55450040.01;B96a;Adlergestell;Treptow-Köpenick;Adlershof;Radwege;Radfahrerfurt Z 340;10,00;ja
872;09-000487;55450039_55450040.01;B96a;Adlergestell;Treptow-Köpenick;Adlershof;Radwege;Radweg, baulich getrennt;95,00;ja
873;09-000488;55450039_55450040.01;B96a;Adlergestell;Treptow-Köpenick;Adlershof;Radwege;Radfahrerfurt Z 340;13,00;ja
875;09-000490;51500017_52500001.01;-;Neue Krugallee;Treptow-Köpenick;Plänterwald;Radwege;Geh-/Radweg, baulich unterschieden;149,00;nein
876;09-000491;55450038_55450039.01;B96a;Adlergestell;Treptow-Köpenick;Adlershof;Radwege;Radweg, baulich getrennt;78,00;ja
877;09-000493;55450037_55450038.01;B96a;Adlergestell;Treptow-Köpenick;Adlershof;Radwege;Radweg, baulich getrennt;59,00;ja
878;09-000494;55450036_55450037.01;B96a;Adlergestell;Treptow-Köpenick;Adlershof;Radwege;Radfahrerfurt Z 340;7,00;ja
879;09-000495;55450036_55450037.01;B96a;Adlergestell;Treptow-Köpenick;Adlershof;Radwege;Radweg, baulich getrennt;62,00;ja
880;09-000496;55450036_55450037.01;B96a;Adlergestell;Treptow-Köpenick;Adlershof;Radwege;Radfahrerfurt Z 340;6,00;ja
881;09-000497;55450035_55450036.01;B96a;Adlergestell;Treptow-Köpenick;Adlershof;Radwege;Radweg, baulich getrennt;153,00;ja
959;11-000319;57600027_57600076.01;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Radfahrerfurt Z 340;9,00;ja
882;02-000018;50520004_51520015.02;-;Alt-Stralau;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, baulich unterschieden;126,00;ja
883;09-000505;50510032_51510046.01;B96a;Am Treptower Park;Treptow-Köpenick;Plänterwald;Radwege;Radfahrerfurt Z 340;19,00;nein
884;09-000506;51510046_51500018.02;B96a;Am Treptower Park;Treptow-Köpenick;Plänterwald;Radwege;Radweg, baulich getrennt;105,00;nein
885;09-000508;51510046_51500018.02;B96a;Am Treptower Park;Treptow-Köpenick;Plänterwald;Radwege;Radfahrerfurt Z 340;10,00;nein
886;08-000003;51480003_51480004.01;-;Neuköllnische Allee;Neukölln;Neukölln;Radwege;Radfahrerfurt Z 340;35,00;nein
887;08-000004;51480004_51480005.01;-;Neuköllnische Allee;Neukölln;Neukölln;Radwege;Radweg, baulich getrennt;165,00;nein
888;08-000005;51480003_51480004.01;-;Neuköllnische Allee;Neukölln;Neukölln;Radfahrstreifen;Radverkehrsanlage Z 340 im/am Knotenpunktsbereich;12,00;nein
889;09-000844;57410060_57410027.01;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Radfahrerfurt Z 340;11,00;nein
890;09-000845;57410060_57410027.01;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Geh-/Radweg, baulich unterschieden;78,00;nein
891;09-000846;57410060_57410027.01;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Radfahrerfurt Z 340;12,00;nein
892;09-000847;57410027_57410034.02;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Geh-/Radweg, baulich unterschieden;82,00;nein
893;09-000848;57410027_57410034.02;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Radfahrerfurt Z 340;9,00;nein
894;09-000849;57410034_57410031.02;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Geh-/Radweg, baulich unterschieden;61,00;nein
895;09-000850;57410031_57410012.03;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Radfahrerfurt Z 340;10,00;nein
896;09-000851;57410031_57410012.03;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Geh-/Radweg, baulich unterschieden;75,00;nein
897;09-000852;57410031_57410012.03;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Radfahrerfurt Z 340;8,00;nein
898;09-000853;57410012_57420037.02;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Geh-/Radweg, baulich unterschieden;162,00;nein
899;09-000854;57400050_57400054.02;-;Waltersdorfer Straße;Treptow-Köpenick;Bohnsdorf;Radwege;Radfahrerfurt Z 340;7,00;nein
900;03-000390;52680002_52680001.01;-;Wiltbergstraße;Pankow;Buch;Radwege;Gehweg, mit Radverkehr frei;596,00;ja
901;03-000391;53670014_53680020.01;-;Röntgentaler Weg;Pankow;Buch;Radwege;Geh-/Radweg, ohne Trennung;22,00;ja
902;03-000392;52670001_53670018.01;-;Wiltbergstraße;Pankow;Buch;Radwege;Radfahrerfurt Z 340;16,00;ja
903;03-000393;52670001_53670018.01;-;Wiltbergstraße;Pankow;Buch;Radwege;Radweg, baulich getrennt;39,00;ja
904;03-000394;52680003_52670001.03;-;Wiltbergstraße;Pankow;Buch;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;64,00;nein
905;03-000395;52680003_52670001.03;-;Wiltbergstraße;Pankow;Buch;Bussonderfahrstreifen;Bussonderfahrstreifen Z 340;100,00;nein
906;03-000396;52670001_53670018.01;-;Wiltbergstraße;Pankow;Buch;Radwege;Radfahrerfurt Z 340;27,00;ja
907;03-000397;52670001_53670018.01;-;Wiltbergstraße;Pankow;Buch;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;37,00;ja
908;03-000280;48660017_48660009.01;-;Schönerlinder Straße;Pankow;Französisch Buchholz;Radwege;Gehweg, mit Radverkehr frei;1127,00;nein
909;03-000281;48650022_48650012.01;-;Schönerlinder Straße;Pankow;Französisch Buchholz;Radwege;Gehweg, mit Radverkehr frei;704,00;nein
910;03-000282;48660009_48660010.02;-;Schönerlinder Straße;Pankow;Französisch Buchholz;Radwege;Gehweg, mit Radverkehr frei;171,00;ja
911;02-000051;50530064_50530058.01;-;Modersohnstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, baulich unterschieden;123,00;nein
912;02-000052;50530064_50530058.01;-;Modersohnstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, baulich unterschieden;127,00;nein
913;02-000053;50530063_50530064.01;-;Modersohnstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, durch Markierung unterschieden;86,00;nein
914;02-000054;50530060_50530063.02;-;Modersohnstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, baulich unterschieden;189,00;nein
915;02-000055;50530008_50530060.01;-;Modersohnstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Radfahrerfurt Z 340;13,00;ja
916;02-000056;50530008_50530060.01;-;Modersohnstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;41,00;ja
917;02-000058;49540014_49540013.01;-;Straße der Pariser Kommune;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Radfahrerfurt Z 340;44,00;ja
918;02-000067;47520041_47520017.01;-;Kottbusser Straße;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Geh-/Radweg, baulich unterschieden;257,00;nein
919;02-000068;47520041_47520017.01;-;Kottbusser Straße;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Radfahrerfurt Z 340;21,00;nein
920;02-000069;47520017_47520023.01;-;Kottbusser Damm;Friedrichshain-Kreuzberg;Kreuzberg;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;74,00;ja
921;02-000070;47520017_47520023.01;-;Kottbusser Damm;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Radfahrerfurt Z 340;23,00;ja
922;02-000071;47510017_48510002.02;-;Kottbusser Damm;Friedrichshain-Kreuzberg;Kreuzberg;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;9,00;nein
923;02-000072;48510002_48510027.02;-;Kottbusser Damm;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Radfahrerfurt Z 340;43,00;nein
924;08-000007;48510016_48510027.01;-;Hermannplatz;Neukölln;Neukölln;Radwege;Geh-/Radweg, baulich unterschieden;133,00;ja
925;08-000008;48510016_48510027.01;-;Hermannplatz;Neukölln;Neukölln;Radwege;Radfahrerfurt Z 340;36,00;ja
926;08-000009;48510016_48500040.01;-;Hermannstraße;Neukölln;Neukölln;Radwege;Geh-/Radweg, baulich unterschieden;277,00;ja
927;08-000010;48510016_48500040.01;-;Hermannstraße;Neukölln;Neukölln;Radwege;Geh-/Radweg, durch Markierung unterschieden;177,00;ja
928;08-000011;48500040_48500005.01;-;Hermannstraße;Neukölln;Neukölln;Radwege;Radfahrerfurt Z 340;15,00;ja
929;08-000012;48500005_48500032.01;-;Hermannstraße;Neukölln;Neukölln;Radwege;Geh-/Radweg, baulich unterschieden;118,00;ja
930;08-000013;48500005_48500032.01;-;Hermannstraße;Neukölln;Neukölln;Radwege;Radfahrerfurt Z 340;45,00;ja
931;08-000014;48490030_48490006.02;-;Siegfriedstraße;Neukölln;Neukölln;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;17,00;nein
932;08-000015;48490019_48490005.02;-;Emser Straße;Neukölln;Neukölln;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;12,00;nein
933;08-000016;48500044_48500029.01;-;Werbellinstraße;Neukölln;Neukölln;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;6,00;nein
934;08-000017;48500005_48500032.01;-;Hermannstraße;Neukölln;Neukölln;Radwege;Radfahrerfurt Z 340;41,00;ja
935;08-000018;48500005_48500032.01;-;Hermannstraße;Neukölln;Neukölln;Radwege;Geh-/Radweg, baulich unterschieden;91,00;ja
936;08-000019;48500040_48500005.01;-;Hermannstraße;Neukölln;Neukölln;Radwege;Radfahrerfurt Z 340;17,00;ja
937;08-000020;48510016_48500040.01;-;Hermannstraße;Neukölln;Neukölln;Radwege;Geh-/Radweg, baulich unterschieden;464,00;ja
938;08-000021;48510016_48510027.01;-;Hermannplatz;Neukölln;Neukölln;Radwege;Radfahrerfurt Z 340;41,00;ja
939;08-000022;47510012_48510016.01;-;Hasenheide;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Radfahrerfurt Z 340;34,00;nein
940;08-000023;47510012_48510016.01;-;Hasenheide;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Radfahrerfurt Z 340;45,00;nein
941;08-000024;48510016_48510027.01;-;Hermannplatz;Neukölln;Neukölln;Radwege;Geh-/Radweg, baulich unterschieden;132,00;ja
942;08-000025;48510016_48510027.01;-;Hermannplatz;Neukölln;Neukölln;Radwege;Radfahrerfurt Z 340;35,00;ja
943;08-000026;48510002_48510027.02;-;Kottbusser Damm;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Geh-/Radweg, baulich unterschieden;44,00;nein
944;02-000073;48510002_48510027.02;-;Kottbusser Damm;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Radfahrerfurt Z 340;6,00;nein
945;02-000074;47510017_48510002.02;-;Kottbusser Damm;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Geh-/Radweg, baulich unterschieden;23,00;nein
946;02-000075;48510002_48510020.02;-;Weserstraße;Neukölln;Neukölln;Radwege;Radfahrerfurt Z 340;26,00;nein
947;02-000076;47520023_47520024.02;-;Kottbusser Damm;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Radfahrerfurt Z 340;27,00;nein
948;02-000077;47520020_47520023.02;-;Planufer;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Radfahrerfurt Z 340;19,00;nein
949;02-000078;47520017_47520023.01;-;Kottbusser Damm;Friedrichshain-Kreuzberg;Kreuzberg;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;77,00;ja
950;02-000079;47520041_47520017.01;-;Kottbusser Straße;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Radfahrerfurt Z 340;30,00;nein
951;02-000080;47520048_47520017.01;-;Kohlfurter Straße;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Radfahrerfurt Z 340;19,00;nein
952;02-000081;47520041_47520017.01;-;Kottbusser Straße;Friedrichshain-Kreuzberg;Kreuzberg;Radwege;Geh-/Radweg, baulich unterschieden;256,00;nein
992;11-000352;54600032_55600007.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Radfahrerfurt Z 340;13,00;ja
953;11-000313;57600061_57600001.01;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Geh-/Radweg, ohne Trennung;78,00;ja
954;11-000314;57600070_57600061.01;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Geh-/Radweg, durch Markierung unterschieden;64,00;ja
955;11-000315;57600070_57600061.01;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Radfahrerfurt Z 340;26,00;ja
956;11-000316;57600058_57600061.01;-;Am Gehrensee;Lichtenberg;Falkenberg;Radwege;Geh-/Radweg, ohne Trennung;15,00;ja
957;11-000317;57600070_57600061.01;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Geh-/Radweg, ohne Trennung;416,00;ja
958;11-000318;57600076_57600070.01;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Geh-/Radweg, durch Markierung unterschieden;20,00;ja
960;11-000320;57600027_57600076.01;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Geh-/Radweg, durch Markierung unterschieden;15,00;ja
961;11-000321;57600027_57600076.01;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Geh-/Radweg, ohne Trennung;88,00;ja
962;11-000322;57600027_57600076.01;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Geh-/Radweg, durch Markierung unterschieden;19,00;ja
963;11-000323;57600072_57600027.01;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Radfahrerfurt Z 340;11,00;ja
964;11-000324;57600029_57600072.02;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Geh-/Radweg, ohne Trennung;163,00;ja
965;11-000325;56600008_57600029.02;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Geh-/Radweg, ohne Trennung;324,00;ja
966;11-000326;56600007_56600008.02;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Geh-/Radweg, baulich unterschieden;29,00;ja
967;11-000327;56600007_56600008.02;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Radfahrerfurt Z 340;10,00;ja
968;11-000328;56600007_56600008.02;-;Ahrensfelder Chaussee;Lichtenberg;Falkenberg;Radwege;Geh-/Radweg, baulich unterschieden;349,00;ja
969;11-000329;56600009_56600010.01;-;Dorfstraße;Lichtenberg;Falkenberg;Radwege;Radfahrerfurt Z 340;20,00;nein
970;11-000330;55600002_55600004.01;-;Dorfstraße;Lichtenberg;Falkenberg;Radwege;Gehweg, mit Radverkehr frei;715,00;nein
971;11-000331;55600007_55600008.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Gehweg, mit Radverkehr frei;384,00;ja
1012;02-000046;50540031_50540029.01;B96a;Warschauer Straße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, baulich unterschieden;52,00;ja
972;11-000332;55600007_55600008.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Gehweg, mit Radverkehr frei;77,00;ja
973;11-000333;55600007_55600008.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Geh-/Radweg, durch Markierung unterschieden;38,00;ja
974;11-000334;55600007_55600008.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Radfahrerfurt Z 340;43,00;ja
975;11-000335;54600047_54600032.02;-;Prendener Straße;Lichtenberg;Neu-Hohenschönhausen;Radwege;Geh-/Radweg, baulich unterschieden;282,00;ja
976;11-000336;54600027_54600047.02;-;Prendener Straße;Lichtenberg;Neu-Hohenschönhausen;Radwege;Radfahrerfurt Z 340;7,00;nein
977;11-000337;54600027_54600047.02;-;Prendener Straße;Lichtenberg;Neu-Hohenschönhausen;Radwege;Radweg, baulich getrennt;94,00;nein
978;11-000338;54600022_54600027.01;-;Dorfstraße;Lichtenberg;Wartenberg;Radwege;Radfahrerfurt Z 340;11,00;nein
979;11-000339;54600022_54600027.01;-;Dorfstraße;Lichtenberg;Wartenberg;Radwege;Geh-/Radweg, baulich unterschieden;16,00;nein
980;11-000340;54600022_54600027.01;-;Dorfstraße;Lichtenberg;Wartenberg;Radwege;Radfahrerfurt Z 340;7,00;nein
981;11-000341;54600022_54600027.01;-;Dorfstraße;Lichtenberg;Wartenberg;Radwege;Geh-/Radweg, baulich unterschieden;15,00;nein
982;11-000342;54600022_54600027.01;-;Dorfstraße;Lichtenberg;Wartenberg;Radwege;Radfahrerfurt Z 340;10,00;nein
983;11-000343;54600027_54600047.02;-;Prendener Straße;Lichtenberg;Neu-Hohenschönhausen;Radwege;Geh-/Radweg, baulich unterschieden;200,00;nein
984;11-000344;54600047_54600032.02;-;Prendener Straße;Lichtenberg;Neu-Hohenschönhausen;Radwege;Radfahrerfurt Z 340;10,00;ja
985;11-000345;54600047_54600032.02;-;Prendener Straße;Lichtenberg;Neu-Hohenschönhausen;Radwege;Geh-/Radweg, baulich unterschieden;161,00;ja
986;11-000346;54600047_54600032.02;-;Prendener Straße;Lichtenberg;Neu-Hohenschönhausen;Radwege;Radfahrerfurt Z 340;55,00;ja
987;11-000347;54600032_55600007.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Radfahrerfurt Z 340;32,00;ja
988;11-000348;54600032_55600007.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Radfahrerfurt Z 340;36,00;ja
989;11-000349;54600032_55600007.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Geh-/Radweg, baulich unterschieden;133,00;ja
990;11-000350;54600032_55600007.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Radfahrerfurt Z 340;14,00;ja
991;11-000351;54600032_55600007.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Geh-/Radweg, baulich unterschieden;102,00;ja
993;11-000353;54600032_55600007.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Geh-/Radweg, baulich unterschieden;109,00;ja
994;11-000354;54600032_55600007.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Radfahrerfurt Z 340;32,00;ja
995;11-000355;55600007_55600008.01;-;Falkenberger Chaussee;Lichtenberg;Neu-Hohenschönhausen;Radwege;Geh-/Radweg, baulich unterschieden;49,00;ja
996;03-000570;53670017_53670009.02;-;Wiltbergstraße;Pankow;Buch;Radwege;Radfahrerfurt Z 340;10,00;ja
997;09-000866;58430027_58430039.02;-;Wassersportallee;Treptow-Köpenick;Grünau;Radwege;Gehweg, mit Radverkehr frei;186,00;nein
998;11-000400;54600032_54600050.01;-;Vincent-van-Gogh-Straße;Lichtenberg;Neu-Hohenschönhausen;Radwege;Radfahrerfurt Z 340;54,00;ja
999;02-000029;50540013_50540031.01;B96a;Warschauer Straße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;126,00;ja
1000;02-000028;50540031_50540029.01;B96a;Warschauer Straße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, baulich unterschieden;69,00;ja
1001;02-000030;49540020_50540013.01;B96a;Warschauer Straße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, baulich unterschieden;143,00;nein
1002;02-000031;49540020_50540013.01;B96a;Warschauer Straße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Radfahrerfurt Z 340;35,00;nein
1003;02-000032;49530026_49540020.01;B96a;Warschauer Straße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, baulich unterschieden;170,00;nein
1004;02-000033;49530020_49530026.02;B96a;Warschauer Straße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Radfahrerfurt Z 340;23,00;ja
1005;02-000037;49530029_49530033.01;B96a;Warschauer Straße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Radfahrerfurt Z 340;51,00;ja
