;OBJECTID;LAND;BEZ;LOR;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
65;113746;11;7;7020202;2018;1;6;3;3;6;2;2;0;1;1;0;0;0;1;795505,0232;5823341,843;13,35225844;52,48004673
66;113756;11;10;10010102;2018;1;3;1;2;1;5;2;0;1;0;0;1;0;0;809167,3789;5833895,087;13,56261332;52,56705917
67;113779;11;7;7050502;2018;1;20;3;2;6;2;2;0;1;1;0;0;0;1;797691,1729;5818749,532;13,38025961;52,43769417
68;113798;11;7;7040402;2018;1;19;4;3;2;6;2;0;1;0;0;0;0;1;796440,241;5822614,971;13,36534305;52,47302409
69;113809;11;6;6030605;2018;1;18;3;2;6;4;2;0;1;1;0;0;0;1;792904,7962;5820060,987;13,31120027;52,45203552
70;113820;11;10;10040830;2018;1;15;5;3;5;2;0;1;1;0;0;0;0;0;810779,2625;5827081,119;13,57994696;52,505079
71;113844;11;9;9020601;2018;1;8;2;3;5;2;0;1;1;0;0;0;0;0;806439,505;5821310,29;13,51090542;52,45581365
72;113855;11;12;12231101;2018;1;6;5;3;5;2;0;1;1;0;0;0;0;1;791745,0419;5839577,954;13,31132041;52,62762084
73;113873;11;7;7040401;2018;1;22;6;3;2;6;2;0;1;0;0;0;0;0;797766,8271;5823725,917;13,38580817;52,48226095
74;113883;11;2;2050602;2018;1;20;4;3;6;2;2;0;1;1;0;0;0;1;803095,8118;5827633,466;13,46759778;52,51435211
75;113906;11;1;1011303;2018;1;23;7;3;6;7;2;0;1;1;0;0;0;0;799219,9755;5827862,421;13,41085944;52,51854444
76;113917;11;10;10030726;2018;1;9;4;3;3;6;0;0;1;0;0;1;0;1;809540,5905;5827377,28;13,56203103;52,50843719
77;113960;11;7;7040403;2018;1;13;6;3;5;2;0;0;1;0;0;0;0;0;797848,732;5822304,287;13,38574109;52,46947297
78;113971;11;1;1011105;2018;1;8;3;2;6;4;0;0;1;1;0;0;0;0;796832,3124;5826681,805;13,37472125;52,50926632
79;113989;11;9;9010101;2018;1;17;4;3;0;4;2;0;0;1;0;0;1;0;802588,2121;5825065,803;13,45780719;52,49162011
80;114000;11;2;2050602;2018;1;9;3;2;6;4;0;0;1;1;0;0;0;1;803499,8524;5827592,797;13,47349649;52,51376294
81;114011;11;12;12103218;2018;1;6;6;3;5;3;2;0;1;0;0;0;0;1;794370,9556;5834514,913;13,34550162;52,58081839
82;114017;11;6;6040703;2018;3;13;7;3;5;2;0;0;1;0;0;0;0;0;786510,6998;5816950,01;13,21469962;52,42753172
83;114018;11;1;1011303;2018;11;18;2;3;3;6;2;1;1;0;0;0;0;0;799538,9712;5828289,734;13,41593143;52,52219952
84;114019;11;7;7020202;2018;8;19;5;3;5;2;0;1;1;0;0;0;0;0;795496,134;5823347,6;13,35213303;52,48010314
85;114021;11;1;1011202;2018;10;22;6;3;1;5;2;1;1;0;0;0;0;0;798127,4824;5827658,786;13,39462387;52,51731745
86;114022;11;2;2040701;2018;8;16;3;3;2;6;0;0;1;0;0;0;0;0;800453,6299;5827925,048;13,42904261;52,51842753
87;114023;11;2;2050602;2018;4;19;2;2;3;6;0;1;0;0;0;0;0;0;802924,6525;5827667,705;13,46511441;52,51475407
88;114024;11;3;3010104;2018;4;16;4;3;2;6;0;0;1;0;0;0;0;0;800437,0032;5839079,544;13,43890139;52,6184162
89;114025;11;10;10030726;2018;5;14;4;2;5;3;0;1;1;0;0;0;0;0;809148,2029;5827396,06;13,55628531;52,50882799
90;114026;11;7;7050502;2018;11;8;6;3;5;3;0;0;1;0;0;0;1;0;798175,052;5818922,512;13,38751112;52,43898116
91;114027;11;6;6040701;2018;12;9;3;3;0;3;0;0;1;0;1;0;0;1;782668,2623;5815803,755;13,15736973;52,41925252
92;114028;11;7;7050502;2018;9;14;5;3;2;6;0;0;1;0;1;0;0;0;798150,3777;5819053,01;13,38726562;52,44016438
93;114029;11;4;4041134;2018;8;7;6;3;2;6;0;0;1;0;0;0;1;0;791093,0025;5824642,739;13,28861273;52,49407904
94;114030;11;7;7050502;2018;6;11;6;3;2;6;0;0;1;0;0;0;0;0;797451,189;5817861,029;13,37594916;52,42986014
95;114031;11;2;2050801;2018;7;22;4;3;0;1;2;0;0;0;1;0;0;0;802134,6659;5827649,017;13,4534913;52,51502475
96;114032;11;1;1044102;2018;5;7;4;3;5;3;0;0;1;0;0;0;0;0;795861,856;5832068,44;13,36525867;52,55807966
97;114033;11;3;3010104;2018;3;18;6;3;0;3;0;0;1;0;0;0;0;0;799972,4783;5839510,022;13,43245097;52,62253125
98;114034;11;2;2050803;2018;11;14;3;3;6;7;0;0;0;1;0;0;1;0;801799,709;5826241,582;13,44729412;52,50259525
99;114035;11;3;3020307;2018;6;11;1;3;9;1;0;0;1;0;0;0;0;1;800688,1818;5838756,153;13,44230639;52,61537872
100;114036;11;4;4041239;2018;12;23;5;2;8;1;2;0;1;0;0;0;0;1;792060,7667;5823867,322;13,30214736;52,48661056
101;114037;11;12;12302211;2018;10;16;7;3;6;7;0;0;1;1;0;0;0;0;793224,3513;5836722,309;13,33058211;52,60122543
102;114038;11;3;3061429;2018;8;17;5;3;2;6;0;0;1;0;0;0;0;0;801488,4872;5831152,035;13,44717465;52,54678012
103;114039;11;7;7010104;2018;4;21;4;3;2;6;2;1;1;0;0;0;0;0;796004,8627;5824581,312;13,36069776;52,49088684
104;114040;11;7;7060601;2018;3;17;1;3;5;2;0;1;1;0;0;0;0;0;796597,7717;5816000,138;13,36178399;52,41364202
105;114041;11;2;2050602;2018;5;14;5;3;2;6;0;0;1;0;1;0;0;0;803116,7571;5827631,391;13,4679036;52,51432187
106;114042;11;12;12103117;2018;10;6;5;3;2;6;2;0;1;0;0;0;0;1;795780,9711;5832528,133;13,36447875;52,5622443
107;114043;11;2;2050602;2018;3;20;6;3;5;2;2;0;1;0;1;0;0;0;802149,456;5827732,442;13,45378434;52,5157643
108;114044;11;7;7040405;2018;11;6;3;3;3;6;1;0;0;0;0;1;1;0;798462,3198;5822103,461;13,39456752;52,46733793
109;114045;11;1;1044102;2018;9;9;1;3;5;3;0;0;1;0;0;0;0;0;795879,035;5832057,388;13,36550149;52,55797126
110;114046;11;7;7050501;2018;8;17;6;3;5;3;0;1;1;0;0;0;0;0;798088,3878;5819263,717;13,38654429;52,44208694
111;114047;11;12;12103117;2018;6;12;2;3;2;6;0;0;1;0;0;0;0;0;795792,5376;5832459,599;13,36458779;52,56162367
112;114048;11;10;10040830;2018;7;13;2;2;2;6;0;0;1;0;0;0;0;0;811201,0308;5827102,304;13,58616073;52,50502846
113;114049;11;6;6030503;2018;6;10;3;3;5;2;0;0;1;0;0;0;0;0;790297,8072;5818370,47;13,27147604;52,4382703
114;114050;11;10;10040830;2018;8;10;5;3;0;1;0;0;0;0;1;0;0;0;811418,282;5827111,178;13,5893595;52,50498403
115;114051;11;2;2040503;2018;5;18;5;3;6;4;0;1;0;1;0;0;0;0;801669,5815;5827796,693;13,44679225;52,51660582
116;114052;11;8;8020620;2018;4;6;5;3;2;6;0;0;1;0;0;0;0;0;801065,8538;5821687,217;13,43240248;52,46217858
117;114053;11;12;12103117;2018;12;8;3;3;5;2;0;0;1;0;0;0;0;1;795828,5144;5832340,954;13,36501121;52,56054059
118;114054;11;9;9010301;2018;9;12;7;3;3;6;0;0;1;0;0;0;0;0;804914,0868;5822796,576;13,4898835;52,46998778
119;114055;11;1;1011303;2018;9;4;1;2;9;1;1;0;1;0;0;0;0;0;798822,2693;5828008,964;13,40514725;52,52007606
120;114056;11;1;1011104;2018;7;9;6;3;0;1;0;0;0;0;1;0;0;0;796402,0862;5826262,34;13,36802711;52,50574015
121;114057;11;2;2050602;2018;7;15;7;3;9;1;0;1;0;0;0;0;0;0;802108,5723;5827991,558;13,45341896;52,5181094
122;114058;11;3;3061131;2018;3;8;4;3;2;6;0;0;1;0;0;0;0;1;799141,926;5830367,385;13,41196655;52,54104049
